load_time,date,province,case_cumulative,recovered_cumulative,death_cumulative,geometry_x,geometry_y
2020-04-01 09:54:57 UTC,2020-04-01,Sulawesi Tenggara,3,0,0,1737300.3400363862,9534489.4318688475
2020-04-01 09:54:57 UTC,2020-04-01,Gorontalo,0,0,0,1852213.967003379,10060711.80270954
2020-04-01 09:54:57 UTC,2020-04-01,Sulawesi Barat,1,0,0,1430874.0731538553,9724957.0154999942
2020-04-01 09:54:57 UTC,2020-04-01,Maluku,1,0,0,2575900.464412041,9635838.1970520616
2020-04-01 09:54:57 UTC,2020-04-01,Maluku Utara,1,0,0,2421875.6040349426,10100517.892677715
2020-04-01 09:54:57 UTC,2020-04-01,Papua,10,0,0,3860042.3514111764,9367964.9766004756
2020-04-01 09:54:57 UTC,2020-04-01,Indonesia,28,0,0,824555.66561042564,9890452.4832352623
2020-04-01 09:54:57 UTC,2020-04-01,Sumatera Utara,19,0,1,-837656.655154198,10246858.783830017
2020-04-01 09:54:57 UTC,2020-04-01,Bengkulu,1,0,1,-473856.28404502949,9576018.2041059528
2020-04-01 09:54:57 UTC,2020-04-01,Kepulauan Riau,7,0,1,189276.93634231281,10433354.998017654
2020-04-01 09:54:57 UTC,2020-04-01,Sulawesi Selatan,50,0,1,1521596.837753321,9580452.7877122425
2020-04-01 09:54:57 UTC,2020-04-01,Papua Barat,2,0,1,3005411.1970494078,9756542.187865112
2020-04-01 09:54:57 UTC,2020-04-01,Sumatera Selatan,5,0,2,-260578.41738994009,9642274.76663132
2020-04-01 09:54:57 UTC,2020-04-01,Daerah Istimewa Yogyakarta,23,1,2,438863.43156352767,9127267.8585260231
2020-04-01 09:54:57 UTC,2020-04-01,Bali,19,0,2,955265.4725940472,9072433.6251062173
2020-04-01 09:54:57 UTC,2020-04-01,Kalimantan Barat,9,2,2,513437.82667791622,9990505.3113515247
2020-04-01 09:54:57 UTC,2020-04-01,Banten,142,2,4,-41440.9987229228,9283764.4809985738
2020-04-01 09:54:57 UTC,2020-04-01,Jawa Tengah,93,0,7,411808.8152425295,9197545.0065468252
2020-04-01 09:54:57 UTC,2020-04-01,Jawa Timur,93,16,8,691206.346199013,9146255.1901167277
2020-04-01 09:54:57 UTC,2020-04-01,Jawa Barat,198,11,21,124497.9591022721,9233754.6046786122
2020-04-01 09:54:57 UTC,2020-04-01,DKI Jakarta,747,48,83,37864.3075122269,9316027.7344999332
2020-04-02 04:55:10 UTC,2020-04-02,Nusa Tenggara Timur,0,0,0,1621557.2390981731,9033865.62245923
2020-04-02 04:55:10 UTC,2020-04-02,Gorontalo,0,0,0,1852213.967003379,10060711.80270954
2020-04-02 04:55:10 UTC,2020-04-02,Sulawesi Barat,1,0,0,1430874.0731538553,9724957.0154999942
2020-04-02 04:55:10 UTC,2020-04-02,Maluku,1,1,0,2575900.464412041,9635838.1970520616
2020-04-02 04:55:10 UTC,2020-04-02,Maluku Utara,1,0,0,2421875.6040349426,10100517.892677717
2020-04-02 04:55:10 UTC,2020-04-02,Jambi,2,0,0,-325494.82600698748,9819678.0331225637
2020-04-02 04:55:10 UTC,2020-04-02,Kalimantan Utara,2,0,0,1080561.3798756762,10320639.045096194
